Namespace(batch_size=100, decay_rate=0.1, decay_step=20000, gpu=2, learning_rate=1.0, log_dir='log1002', max_epoch=10000, momentum=0.9)
Loss for Iter 5701: 0.114953, acc = 0.750000
Loss for Iter 5751: 0.096255, acc = 0.840000
Loss for Iter 5801: 0.117156, acc = 0.750000
Loss for Iter 5851: 0.102880, acc = 0.840000
Loss for Iter 5901: 0.117560, acc = 0.800000
Loss for Iter 5951: 0.104625, acc = 0.820000
-----------------------------------
Test loss for epoch 5: 0.130978, Acc = 0.757000
Loss for Iter 6001: 0.091562, acc = 0.870000
Loss for Iter 6051: 0.117869, acc = 0.760000
Loss for Iter 6101: 0.102902, acc = 0.820000
Loss for Iter 6151: 0.101282, acc = 0.850000
Loss for Iter 6201: 0.109449, acc = 0.770000
Loss for Iter 6251: 0.115573, acc = 0.780000
Loss for Iter 6301: 0.104501, acc = 0.840000
Loss for Iter 6351: 0.102371, acc = 0.880000
Loss for Iter 6401: 0.119409, acc = 0.760000
Loss for Iter 6451: 0.109251, acc = 0.800000
Loss for Iter 6501: 0.123772, acc = 0.810000
Loss for Iter 6551: 0.120776, acc = 0.740000
Loss for Iter 6601: 0.104769, acc = 0.820000
Loss for Iter 6651: 0.142452, acc = 0.700000
Loss for Iter 6701: 0.113069, acc = 0.810000
Loss for Iter 6751: 0.111398, acc = 0.830000
Loss for Iter 6801: 0.110007, acc = 0.790000
Loss for Iter 6851: 0.107367, acc = 0.840000
Loss for Iter 6901: 0.109499, acc = 0.790000
Loss for Iter 6951: 0.137698, acc = 0.730000
-----------------------------------
Test loss for epoch 6: 0.107536, Acc = 0.829700
Loss for Iter 7001: 0.101913, acc = 0.870000
Loss for Iter 7051: 0.106236, acc = 0.810000
Loss for Iter 7101: 0.109399, acc = 0.840000
Loss for Iter 7151: 0.102312, acc = 0.830000
Loss for Iter 7201: 0.107046, acc = 0.810000
Loss for Iter 7251: 0.112475, acc = 0.790000
Loss for Iter 7301: 0.107077, acc = 0.850000
Loss for Iter 7351: 0.114967, acc = 0.790000
Loss for Iter 7401: 0.114852, acc = 0.810000
Loss for Iter 7451: 0.101615, acc = 0.890000
Loss for Iter 7501: 0.118802, acc = 0.800000
Loss for Iter 7551: 0.107275, acc = 0.850000
Loss for Iter 7601: 0.121519, acc = 0.750000
Loss for Iter 7651: 0.115300, acc = 0.840000
Loss for Iter 7701: 0.103391, acc = 0.860000
Loss for Iter 7751: 0.094812, acc = 0.880000
Loss for Iter 7801: 0.117032, acc = 0.800000
Loss for Iter 7851: 0.105469, acc = 0.830000
Loss for Iter 7901: 0.116621, acc = 0.800000
Loss for Iter 7951: 0.108598, acc = 0.820000
-----------------------------------
Test loss for epoch 7: 0.107456, Acc = 0.840100
Loss for Iter 8001: 0.094679, acc = 0.880000
Loss for Iter 8051: 0.120776, acc = 0.790000
Loss for Iter 8101: 0.096766, acc = 0.860000
Loss for Iter 8151: 0.122011, acc = 0.780000
Loss for Iter 8201: 0.111906, acc = 0.830000
Loss for Iter 8251: 0.110442, acc = 0.800000
Loss for Iter 8301: 0.106012, acc = 0.860000
Loss for Iter 8351: 0.114982, acc = 0.800000
Loss for Iter 8401: 0.098861, acc = 0.860000
Loss for Iter 8451: 0.128721, acc = 0.770000
Loss for Iter 8501: 0.118563, acc = 0.800000
Loss for Iter 8551: 0.101875, acc = 0.820000
Loss for Iter 8601: 0.108111, acc = 0.790000
Loss for Iter 8651: 0.114666, acc = 0.810000
Loss for Iter 8701: 0.100643, acc = 0.860000
Loss for Iter 8751: 0.095876, acc = 0.900000
Loss for Iter 8801: 0.101714, acc = 0.860000
Loss for Iter 8851: 0.114478, acc = 0.800000
Loss for Iter 8901: 0.101193, acc = 0.850000
Loss for Iter 8951: 0.086202, acc = 0.920000
-----------------------------------
Test loss for epoch 8: 0.108380, Acc = 0.833800
Loss for Iter 9001: 0.117451, acc = 0.800000
Loss for Iter 9051: 0.113538, acc = 0.820000
Loss for Iter 9101: 0.116033, acc = 0.810000
Loss for Iter 9151: 0.126758, acc = 0.780000
Loss for Iter 9201: 0.092323, acc = 0.900000
Loss for Iter 9251: 0.121807, acc = 0.800000
Loss for Iter 9301: 0.121011, acc = 0.780000
Loss for Iter 9351: 0.098536, acc = 0.870000
Loss for Iter 9401: 0.108999, acc = 0.840000
Loss for Iter 9451: 0.109548, acc = 0.860000
Loss for Iter 9501: 0.123456, acc = 0.820000
Loss for Iter 9551: 0.115448, acc = 0.810000
Loss for Iter 9601: 0.124746, acc = 0.810000
Loss for Iter 9651: 0.113922, acc = 0.830000
Loss for Iter 9701: 0.114727, acc = 0.840000
Loss for Iter 9751: 0.111283, acc = 0.800000
Loss for Iter 9801: 0.124819, acc = 0.780000
Loss for Iter 9851: 0.117163, acc = 0.840000
Loss for Iter 9901: 0.108576, acc = 0.820000
Loss for Iter 9951: 0.127324, acc = 0.730000
-----------------------------------
Test loss for epoch 9: 0.108794, Acc = 0.848600
Loss for Iter 10001: 0.107782, acc = 0.840000
Loss for Iter 10051: 0.097778, acc = 0.880000
Loss for Iter 10101: 0.124247, acc = 0.820000
Loss for Iter 10151: 0.112620, acc = 0.830000
Loss for Iter 10201: 0.115011, acc = 0.810000
Loss for Iter 10251: 0.103384, acc = 0.880000
Loss for Iter 10301: 0.113047, acc = 0.840000
Loss for Iter 10351: 0.102761, acc = 0.870000
Loss for Iter 10401: 0.107374, acc = 0.850000
Loss for Iter 10451: 0.115870, acc = 0.820000
Loss for Iter 10501: 0.108466, acc = 0.890000
Loss for Iter 10551: 0.124239, acc = 0.830000
Loss for Iter 10601: 0.120119, acc = 0.810000
Loss for Iter 10651: 0.130014, acc = 0.740000
Loss for Iter 10701: 0.114955, acc = 0.830000
Loss for Iter 10751: 0.105691, acc = 0.860000
Loss for Iter 10801: 0.107083, acc = 0.830000
Loss for Iter 10851: 0.113673, acc = 0.870000
Loss for Iter 10901: 0.126696, acc = 0.800000
Loss for Iter 10951: 0.113468, acc = 0.840000
-----------------------------------
Test loss for epoch 10: 0.119219, Acc = 0.827800
Loss for Iter 11001: 0.102122, acc = 0.900000
Loss for Iter 11051: 0.131101, acc = 0.760000
Loss for Iter 11101: 0.103447, acc = 0.870000
Loss for Iter 11151: 0.090656, acc = 0.930000
Loss for Iter 11201: 0.111653, acc = 0.820000
Loss for Iter 11251: 0.104828, acc = 0.870000
Loss for Iter 11301: 0.119261, acc = 0.800000
Loss for Iter 11351: 0.105376, acc = 0.850000
Loss for Iter 11401: 0.125115, acc = 0.820000
Loss for Iter 11451: 0.096940, acc = 0.890000
Loss for Iter 11501: 0.107573, acc = 0.850000
Loss for Iter 11551: 0.124371, acc = 0.800000
Loss for Iter 11601: 0.121007, acc = 0.820000
Loss for Iter 11651: 0.124670, acc = 0.800000
Loss for Iter 11701: 0.095885, acc = 0.890000
Loss for Iter 11751: 0.098046, acc = 0.910000
Loss for Iter 11801: 0.116290, acc = 0.800000
Loss for Iter 11851: 0.103096, acc = 0.880000
Loss for Iter 11901: 0.112922, acc = 0.830000
Loss for Iter 11951: 0.126396, acc = 0.740000
-----------------------------------
Test loss for epoch 11: 0.127028, Acc = 0.806100
Loss for Iter 12001: 0.120993, acc = 0.840000
Loss for Iter 12051: 0.115553, acc = 0.850000
Loss for Iter 12101: 0.110058, acc = 0.810000
Loss for Iter 12151: 0.113181, acc = 0.870000
Loss for Iter 12201: 0.110691, acc = 0.820000
Loss for Iter 12251: 0.122658, acc = 0.850000
Loss for Iter 12301: 0.108244, acc = 0.870000
Loss for Iter 12351: 0.104689, acc = 0.900000
Loss for Iter 12401: 0.121995, acc = 0.820000
Loss for Iter 12451: 0.113102, acc = 0.820000
Loss for Iter 12501: 0.107722, acc = 0.850000
Loss for Iter 12551: 0.130685, acc = 0.820000
Loss for Iter 12601: 0.102506, acc = 0.860000
Loss for Iter 12651: 0.110715, acc = 0.860000
Loss for Iter 12701: 0.108806, acc = 0.850000
Loss for Iter 12751: 0.120764, acc = 0.790000
Loss for Iter 12801: 0.109065, acc = 0.860000
Loss for Iter 12851: 0.122660, acc = 0.810000
Loss for Iter 12901: 0.100843, acc = 0.880000
Loss for Iter 12951: 0.109709, acc = 0.870000
-----------------------------------
Test loss for epoch 12: 0.114631, Acc = 0.841500
Loss for Iter 13001: 0.122217, acc = 0.790000
Loss for Iter 13051: 0.110292, acc = 0.830000
Loss for Iter 13101: 0.101028, acc = 0.900000
Loss for Iter 13151: 0.105574, acc = 0.850000
Loss for Iter 13201: 0.102727, acc = 0.890000
Loss for Iter 13251: 0.117888, acc = 0.820000
Loss for Iter 13301: 0.120988, acc = 0.820000
Loss for Iter 13351: 0.120286, acc = 0.780000
Loss for Iter 13401: 0.097719, acc = 0.890000
Loss for Iter 13451: 0.118355, acc = 0.790000
Loss for Iter 13501: 0.124482, acc = 0.800000
Loss for Iter 13551: 0.115220, acc = 0.860000
Loss for Iter 13601: 0.109512, acc = 0.840000
Loss for Iter 13651: 0.123721, acc = 0.820000
Loss for Iter 13701: 0.120725, acc = 0.830000
Loss for Iter 13751: 0.107561, acc = 0.850000
Loss for Iter 13801: 0.107687, acc = 0.880000
Loss for Iter 13851: 0.110631, acc = 0.850000
Loss for Iter 13901: 0.103389, acc = 0.880000
Loss for Iter 13951: 0.128617, acc = 0.810000
-----------------------------------
Test loss for epoch 13: 0.109718, Acc = 0.861000
Loss for Iter 14001: 0.119411, acc = 0.830000
Loss for Iter 14051: 0.091389, acc = 0.900000
Loss for Iter 14101: 0.116872, acc = 0.850000
Loss for Iter 14151: 0.119149, acc = 0.820000
Loss for Iter 14201: 0.111250, acc = 0.850000
Loss for Iter 14251: 0.113260, acc = 0.850000
Loss for Iter 14301: 0.102913, acc = 0.850000
Loss for Iter 14351: 0.142003, acc = 0.780000
Loss for Iter 14401: 0.115403, acc = 0.880000
Loss for Iter 14451: 0.108255, acc = 0.870000
Loss for Iter 14501: 0.117668, acc = 0.800000
Loss for Iter 14551: 0.132113, acc = 0.770000
Loss for Iter 14601: 0.106482, acc = 0.870000
Loss for Iter 14651: 0.118991, acc = 0.850000
Loss for Iter 14701: 0.100117, acc = 0.910000
Loss for Iter 14751: 0.127120, acc = 0.790000
Loss for Iter 14801: 0.114015, acc = 0.850000
Loss for Iter 14851: 0.127168, acc = 0.810000
Loss for Iter 14901: 0.111351, acc = 0.870000
Loss for Iter 14951: 0.105712, acc = 0.880000
-----------------------------------
Test loss for epoch 14: 0.111931, Acc = 0.859300
Loss for Iter 15001: 0.096689, acc = 0.910000
Loss for Iter 15051: 0.129894, acc = 0.790000
Loss for Iter 15101: 0.098188, acc = 0.910000
Loss for Iter 15151: 0.095283, acc = 0.910000
